2004-08-08 06:05:00.000000+0:00,3182,5,71,62,,52.5,322,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3099,0,81,65,,59,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3102,0,78,58,,51.2,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3112,0,78,58,,51.2,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3139,0,70,54,,44.5,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3160,0,78,64,,57,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3069,0,99,61,,60.7,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3163,0,92,60,,57.7,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3057,0,93,60,,58,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3040,0,90,60,,57.1,346,1,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3329,0,100,60,,60,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3353,2,72,68,,58.6,158,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3175,0,74,65,,56.5,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3065,8,64,77,,63.9,252,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3241,2,70,63,,53.1,153,8,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3323,0,92,57,,54.7,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3011,5,57,79,,62.5,58,17,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3312,0,76,57,,49.5,165,2,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3357,0,,58,,,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3037,0,0,0,,0,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3284,1,77,59,,51.8,68,2,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3338,3,86,81,,76.4,97,4,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3265,0,77,64,,56.7,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3217,5,86,55,,50.9,305,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3356,0,95,56,,54.6,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3375,0,83,55,,50,301,2,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3372,1,86,77,,72.5,359,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3464,0,92,60,,57.7,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3207,0,98,62,,61.4,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3471,0,93,52,,50.1,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3273,0,67,66,,54.7,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3286,0,94,54,,52.3,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3460,0,91,55,,52.4,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3469,0,77,58,,50.8,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3497,0,75,56,,48.2,302,7,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3307,0,97,52,,51.2,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3328,0,99,50,,49.7,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3431,0,81,61,,55.1,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3028,0,78,62,,55.1,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3009,0,54,58,,41.5,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3397,0,95,59,,57.6,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3262,0,90,55,,52.1,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3279,0,88,54,,50.5,287,1,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3437,0,90,60,,57.1,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3304,0,88,75,,71.2,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3451,0,96,76,,74.8,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3276,0,98,49,,48.5,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3327,0,89,78,,74.5,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3430,0,79,57,,50.6,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3388,0,77,65,,57.6,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3439,0,57,67,,51.3,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3296,0,75,58,,50.1,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3158,0,72,61,,51.9,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3097,2,84,54,,49.3,318,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3190,0,85,59,,54.5,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3142,0,98,59,,58.5,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3089,0,80,59,,52.9,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3171,0,87,55,,51.2,271,2,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3489,11,79,58,,51.5,275,14,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3487,5,60,59,,45.2,144,8,,,,,,,,
