<>:[1000]
<>:[2000]
<>:[3000]
<>:[4000]
<>:[5000]
<>:[6000]
<>:[7000]
<>:[8000]
<>:[9000]
<>:[10000]
<>:[11000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_05_00 >:[12000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_05_00 >:[13000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_05_00 >:[14000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_15_00 >:[14000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_05_00 >:[15000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_15_00 >:[15000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_20_00 >:[15000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_05_00 >:[16000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_15_00 >:[16000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_20_00 >:[16000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_15_00 >:[17000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_20_00 >:[17000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_30_00 >:[17000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_15_00 >:[18000]
